status,email,role,notes
skipped,customer.test.063@chinamall.local,test,"customer.test.063@chinamall.local (already exists)"
skipped,customer.test.064@chinamall.local,test,"customer.test.064@chinamall.local (already exists)"
skipped,customer.test.065@chinamall.local,test,"customer.test.065@chinamall.local (already exists)"
skipped,customer.test.066@chinamall.local,test,"customer.test.066@chinamall.local (already exists)"
skipped,customer.test.067@chinamall.local,test,"customer.test.067@chinamall.local (already exists)"
skipped,customer.test.068@chinamall.local,test,"customer.test.068@chinamall.local (already exists)"
skipped,customer.test.069@chinamall.local,test,"customer.test.069@chinamall.local (already exists)"
skipped,customer.test.070@chinamall.local,test,"customer.test.070@chinamall.local (already exists)"
skipped,customer.test.071@chinamall.local,test,"customer.test.071@chinamall.local (already exists)"
skipped,customer.test.072@chinamall.local,test,"customer.test.072@chinamall.local (already exists)"
skipped,customer.test.073@chinamall.local,test,"customer.test.073@chinamall.local (already exists)"
skipped,customer.test.074@chinamall.local,test,"customer.test.074@chinamall.local (already exists)"
skipped,customer.test.075@chinamall.local,test,"customer.test.075@chinamall.local (already exists)"
skipped,customer.test.076@chinamall.local,test,"customer.test.076@chinamall.local (already exists)"
skipped,customer.test.077@chinamall.local,test,"customer.test.077@chinamall.local (already exists)"
skipped,customer.test.078@chinamall.local,test,"customer.test.078@chinamall.local (already exists)"
skipped,customer.test.079@chinamall.local,test,"customer.test.079@chinamall.local (already exists)"
skipped,customer.test.080@chinamall.local,test,"customer.test.080@chinamall.local (already exists)"
skipped,customer.test.081@chinamall.local,test,"customer.test.081@chinamall.local (already exists)"
skipped,customer.test.082@chinamall.local,test,"customer.test.082@chinamall.local (already exists)"
skipped,customer.test.083@chinamall.local,test,"customer.test.083@chinamall.local (already exists)"
skipped,customer.test.084@chinamall.local,test,"customer.test.084@chinamall.local (already exists)"
skipped,customer.test.085@chinamall.local,test,"customer.test.085@chinamall.local (already exists)"
skipped,customer.test.086@chinamall.local,test,"customer.test.086@chinamall.local (already exists)"
skipped,customer.test.087@chinamall.local,test,"customer.test.087@chinamall.local (already exists)"
skipped,customer.test.088@chinamall.local,test,"customer.test.088@chinamall.local (already exists)"
skipped,customer.test.089@chinamall.local,test,"customer.test.089@chinamall.local (already exists)"
skipped,customer.test.090@chinamall.local,test,"customer.test.090@chinamall.local (already exists)"
skipped,customer.test.091@chinamall.local,test,"customer.test.091@chinamall.local (already exists)"
skipped,customer.test.092@chinamall.local,test,"customer.test.092@chinamall.local (already exists)"
skipped,customer.test.093@chinamall.local,test,"customer.test.093@chinamall.local (already exists)"
skipped,customer.test.094@chinamall.local,test,"customer.test.094@chinamall.local (already exists)"
skipped,customer.test.095@chinamall.local,test,"customer.test.095@chinamall.local (already exists)"
skipped,customer.test.096@chinamall.local,test,"customer.test.096@chinamall.local (already exists)"
skipped,customer.test.097@chinamall.local,test,"customer.test.097@chinamall.local (already exists)"
skipped,customer.test.098@chinamall.local,test,"customer.test.098@chinamall.local (already exists)"
skipped,customer.test.099@chinamall.local,test,"customer.test.099@chinamall.local (already exists)"
skipped,customer.test.100@chinamall.local,test,"customer.test.100@chinamall.local (already exists)"
skipped,vendor.test.001@chinamall.local,test,"vendor.test.001@chinamall.local (already exists)"
skipped,vendor.test.002@chinamall.local,test,"vendor.test.002@chinamall.local (already exists)"
skipped,vendor.test.003@chinamall.local,test,"vendor.test.003@chinamall.local (already exists)"
skipped,vendor.test.004@chinamall.local,test,"vendor.test.004@chinamall.local (already exists)"
skipped,vendor.test.005@chinamall.local,test,"vendor.test.005@chinamall.local (already exists)"
skipped,vendor.test.006@chinamall.local,test,"vendor.test.006@chinamall.local (already exists)"
skipped,vendor.test.007@chinamall.local,test,"vendor.test.007@chinamall.local (already exists)"
skipped,vendor.test.008@chinamall.local,test,"vendor.test.008@chinamall.local (already exists)"
skipped,vendor.test.009@chinamall.local,test,"vendor.test.009@chinamall.local (already exists)"
skipped,vendor.test.010@chinamall.local,test,"vendor.test.010@chinamall.local (already exists)"
skipped,vendor.test.011@chinamall.local,test,"vendor.test.011@chinamall.local (already exists)"
skipped,vendor.test.012@chinamall.local,test,"vendor.test.012@chinamall.local (already exists)"
skipped,vendor.test.013@chinamall.local,test,"vendor.test.013@chinamall.local (already exists)"
skipped,vendor.test.014@chinamall.local,test,"vendor.test.014@chinamall.local (already exists)"
skipped,vendor.test.015@chinamall.local,test,"vendor.test.015@chinamall.local (already exists)"
skipped,vendor.test.016@chinamall.local,test,"vendor.test.016@chinamall.local (already exists)"
skipped,vendor.test.017@chinamall.local,test,"vendor.test.017@chinamall.local (already exists)"
skipped,vendor.test.018@chinamall.local,test,"vendor.test.018@chinamall.local (already exists)"
skipped,vendor.test.019@chinamall.local,test,"vendor.test.019@chinamall.local (already exists)"
skipped,vendor.test.020@chinamall.local,test,"vendor.test.020@chinamall.local (already exists)"
skipped,courier.test.001@chinamall.local,test,"courier.test.001@chinamall.local (already exists)"
skipped,courier.test.002@chinamall.local,test,"courier.test.002@chinamall.local (already exists)"
skipped,courier.test.003@chinamall.local,test,"courier.test.003@chinamall.local (already exists)"
skipped,courier.test.004@chinamall.local,test,"courier.test.004@chinamall.local (already exists)"
skipped,courier.test.005@chinamall.local,test,"courier.test.005@chinamall.local (already exists)"
skipped,courier.test.006@chinamall.local,test,"courier.test.006@chinamall.local (already exists)"
skipped,courier.test.007@chinamall.local,test,"courier.test.007@chinamall.local (already exists)"
skipped,courier.test.008@chinamall.local,test,"courier.test.008@chinamall.local (already exists)"
skipped,courier.test.009@chinamall.local,test,"courier.test.009@chinamall.local (already exists)"
skipped,courier.test.010@chinamall.local,test,"courier.test.010@chinamall.local (already exists)"
skipped,admin.test.001@chinamall.local,test,"admin.test.001@chinamall.local (already exists)"
skipped,admin.test.002@chinamall.local,test,"admin.test.002@chinamall.local (already exists)"
